	question	answer
0	co je dusevni vlastnictvi	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
1	co znamena dusevni vlastnictvi	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
2	dusevni vlastnictvi je	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
3	definice dusevniho vlastnictvi	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
4	jak definovat dusevni vlastnictvi	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
5	co predstavuje dusevni vlastnictvi	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
6	ochrana predmetu technickeho charakteru	"technicke reseni lze chranit formou patentu na vynalez, pripadne zapsaneho uzitneho vzoru, podanim prihlasky vynalezu nebo uzitneho vzoru, u uradu prumysloveho vlastnictvi, a zaplaceni spravniho poplatku. princip teto ochrany spociva v tom, ze stat prostrednictvim uradu prumysloveho vlastnictvi poskytne prihlasovateli vylucne pravo k predmetu ochrany s tim, ze chranene reseni bude zverejneno.

pokud vlastnik reseni nechce, aby pro neho vyznamne reseni nebo poznatky byly zverejneny, musi je utajit. k utajeni poznatku a znalosti je dulezite zvolit vhodna opatreni: omezit pristup k reseni jen duveryhodnym osobam, ktere podepsaly dohodu o utajovani. pri teto forme ochrany existuje vzdy urcite riziko vyzrazeni. v takovem pripade utajene poznatky prestavaji byt obchodnim tajemstvim a stavaji se obecne znamymi a v zasade tak volnymi k vyuziti.

pokud vlastnik reseni nema zajem na zajisteni vlastni prumyslove-pravni ochrany a nechce, aby ochrana shodneho reseni a vylucne pravo k nemu nebyly poskytnuty treti osobe nebo konkurenci, musi reseni kvalifikovane zverejnit, napriklad v casopise nebo verejne prednasce. vzhledem k tomuto zverejneni se reseni stane stavem techniky a nebude tedy splnovat podminky pro poskytnuti prumyslove-pravni ochrany.

pokud si vlastnik nezajisti nekterou z uvedenych forem ochrany, musi pocitat s tim, ze shodne reseni muze vyuzivat kdokoliv, aniz je mozne mu v tom ucinne branit.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
7	ochrana predmetu technickeho typu	"technicke reseni lze chranit formou patentu na vynalez, pripadne zapsaneho uzitneho vzoru, podanim prihlasky vynalezu nebo uzitneho vzoru, u uradu prumysloveho vlastnictvi, a zaplaceni spravniho poplatku. princip teto ochrany spociva v tom, ze stat prostrednictvim uradu prumysloveho vlastnictvi poskytne prihlasovateli vylucne pravo k predmetu ochrany s tim, ze chranene reseni bude zverejneno.

pokud vlastnik reseni nechce, aby pro neho vyznamne reseni nebo poznatky byly zverejneny, musi je utajit. k utajeni poznatku a znalosti je dulezite zvolit vhodna opatreni: omezit pristup k reseni jen duveryhodnym osobam, ktere podepsaly dohodu o utajovani. pri teto forme ochrany existuje vzdy urcite riziko vyzrazeni. v takovem pripade utajene poznatky prestavaji byt obchodnim tajemstvim a stavaji se obecne znamymi a v zasade tak volnymi k vyuziti.

pokud vlastnik reseni nema zajem na zajisteni vlastni prumyslove-pravni ochrany a nechce, aby ochrana shodneho reseni a vylucne pravo k nemu nebyly poskytnuty treti osobe nebo konkurenci, musi reseni kvalifikovane zverejnit, napriklad v casopise nebo verejne prednasce. vzhledem k tomuto zverejneni se reseni stane stavem techniky a nebude tedy splnovat podminky pro poskytnuti prumyslove-pravni ochrany.

pokud si vlastnik nezajisti nekterou z uvedenych forem ochrany, musi pocitat s tim, ze shodne reseni muze vyuzivat kdokoliv, aniz je mozne mu v tom ucinne branit.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
8	ochrana technickych reseni	"technicke reseni lze chranit formou patentu na vynalez, pripadne zapsaneho uzitneho vzoru, podanim prihlasky vynalezu nebo uzitneho vzoru, u uradu prumysloveho vlastnictvi, a zaplaceni spravniho poplatku. princip teto ochrany spociva v tom, ze stat prostrednictvim uradu prumysloveho vlastnictvi poskytne prihlasovateli vylucne pravo k predmetu ochrany s tim, ze chranene reseni bude zverejneno.

pokud vlastnik reseni nechce, aby pro neho vyznamne reseni nebo poznatky byly zverejneny, musi je utajit. k utajeni poznatku a znalosti je dulezite zvolit vhodna opatreni: omezit pristup k reseni jen duveryhodnym osobam, ktere podepsaly dohodu o utajovani. pri teto forme ochrany existuje vzdy urcite riziko vyzrazeni. v takovem pripade utajene poznatky prestavaji byt obchodnim tajemstvim a stavaji se obecne znamymi a v zasade tak volnymi k vyuziti.

pokud vlastnik reseni nema zajem na zajisteni vlastni prumyslove-pravni ochrany a nechce, aby ochrana shodneho reseni a vylucne pravo k nemu nebyly poskytnuty treti osobe nebo konkurenci, musi reseni kvalifikovane zverejnit, napriklad v casopise nebo verejne prednasce. vzhledem k tomuto zverejneni se reseni stane stavem techniky a nebude tedy splnovat podminky pro poskytnuti prumyslove-pravni ochrany.

pokud si vlastnik nezajisti nekterou z uvedenych forem ochrany, musi pocitat s tim, ze shodne reseni muze vyuzivat kdokoliv, aniz je mozne mu v tom ucinne branit.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
9	jak chranit technicke reseni	"technicke reseni lze chranit formou patentu na vynalez, pripadne zapsaneho uzitneho vzoru, podanim prihlasky vynalezu nebo uzitneho vzoru, u uradu prumysloveho vlastnictvi, a zaplaceni spravniho poplatku. princip teto ochrany spociva v tom, ze stat prostrednictvim uradu prumysloveho vlastnictvi poskytne prihlasovateli vylucne pravo k predmetu ochrany s tim, ze chranene reseni bude zverejneno.

pokud vlastnik reseni nechce, aby pro neho vyznamne reseni nebo poznatky byly zverejneny, musi je utajit. k utajeni poznatku a znalosti je dulezite zvolit vhodna opatreni: omezit pristup k reseni jen duveryhodnym osobam, ktere podepsaly dohodu o utajovani. pri teto forme ochrany existuje vzdy urcite riziko vyzrazeni. v takovem pripade utajene poznatky prestavaji byt obchodnim tajemstvim a stavaji se obecne znamymi a v zasade tak volnymi k vyuziti.

pokud vlastnik reseni nema zajem na zajisteni vlastni prumyslove-pravni ochrany a nechce, aby ochrana shodneho reseni a vylucne pravo k nemu nebyly poskytnuty treti osobe nebo konkurenci, musi reseni kvalifikovane zverejnit, napriklad v casopise nebo verejne prednasce. vzhledem k tomuto zverejneni se reseni stane stavem techniky a nebude tedy splnovat podminky pro poskytnuti prumyslove-pravni ochrany.

pokud si vlastnik nezajisti nekterou z uvedenych forem ochrany, musi pocitat s tim, ze shodne reseni muze vyuzivat kdokoliv, aniz je mozne mu v tom ucinne branit.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
