	question	class
0	svetovy patent	0
1	mezinarodni patent	0
2	svetovy  patenty	0
3	mezinarodni patenty	0
4	chci si zaregistrovat mezinarodni patent	0
5	jak zaregistrovat mezinarodni patent	0
6	chci si zaregistrovat mezinarodni vynalez	0
7	jak zaregistrovat mezinarodni vynalez	0
8	svetovy uzitny vzor	0
9	mezinarodni uzitny vzor	0
10	chci si zaregistrovat mezinarodni uzitny vzor	0
11	jak zaregistrovat mezinarodni uzitny vzor	0
12	formular zadosti o mezinarodni zapis patentu .	0
13	zadost o mezinarodni zapis patentu .	0
14	formular zadosti o mezinarodni prihlasku patentu .	0
15	zadost o mezinarodni prihlasku patentu .	0
16	formular zadosti o mezinarodni zapis  vynalezu.	0
17	zadost o mezinarodni zapis  vynalezu.	0
18	formular zadosti o mezinarodni prihlasku vynalezu.	0
19	zadost o mezinarodni prihlasku vynalezu.	0
20	formular zadosti o mezinarodni zapis uzitneho vzoru	0
21	zadost o mezinarodni zapis uzitneho vzoru	0
22	formular zadosti o mezinarodni prihlasku uzitneho vzoru	0
23	zadost o mezinarodni prihlasku uzitneho vzoru	0
24	mezinarodni registrace uzitneho vzoru	0
25	formular zadosti o mezinarodni zapis prumysloveho vzoru.	1
26	zadost o mezinarodni zapis prumysloveho vzoru.	1
27	formular zadosti o mezinarodni prihlasku prumysloveho vzoru.	1
28	zadost o mezinarodni prihlasku prumysloveho vzoru.	1
29	jak prihlasit prumyslovy vzor do zahranici?	1
30	jak zaregistrovat prumyslovy vzor do zahranici?	1
31	jak zapsat prumyslovy vzor do zahranici?	1
32	mezinarodni prumyslovy vzor .	1
33	mezinarodni prumyslove vzory.	1
34	co chrani autorske pravo?	2
35	co je autorske pravo	2
36	na koho se vztahuji prava souvisejici s autorskym pravem?	2
37	jak dlouho plati autorske pravo?	3
38	je nutne autorske pravo nekde registrovat ?	4
39	je nutne autorske pravo nekde zapsat?	4
40	co je mozne bez souhlasu autora?	5
41	co muzu bez souhlasu autora?	5
42	co lze bez souhlasu autora?	5
43	co je povazovano za legalni uziti autorskeho dila?	5
44	uziti autorskeho dila	5
45	kdo ma na starosti autorske pravo v ceske republice?	6
46	kam se obratit s dotazy k autorskemu pravu ?	6
47	kam se obratit s dotazy k autorskym pravum?	6
48	co je to stiznost?	7
49	co muze byt predmetem stiznosti?	7
50	jaky je ucel podani stiznosti?	7
51	kdo muze podat stiznost?	7
52	kdo je opravnen podat stiznost?	7
53	kde seznam stiznosti?	8
54	kde databazi stiznosti?	8
55	kde najdu smernice k vyrizovani stiznosti?	8
56	kde najdu reakce uradu na stiznost?	8
57	kde najdu pravni predpisy tykajici se stiznosti	8
58	navod k podani stiznosti	8
59	jak podat stiznost	8
60	jak podat stiznost na neudeleni patentu	8
61	informace o stiznostech	8
62	co je vestnik?	9
63	jak casto je vydavan vestnik?	10
64	jake informace najdu ve vestniku?	11
65	jake informace jsou zverejnovany ve vestniku?	11
66	jsou v vestniku informace o patentech ?	11
67	jsou v vestniku informace o vynalezech?	11
68	zverejnuje vestnik informace o ochrannych znamkach?	11
69	jsou ve vestniku informace o zapsanych prumyslovych vzorech?	11
70	jsou v vestniku udaje o uzitnych vzorech?	11
71	jsou v vestniku informace o uzitnych vzorech?	11
72	kde mohu najit vestnik?	12
73	kde najdu vestnik?	12
74	kde najdu pravni predpisy tykajici se ochrany prumysloveho vlastnictvi?	13
75	kde jsou pravni predpisy tykajici se ochrany prumysloveho vlastnictvi?	13
76	kde najdu  zakony tykajici se ochrany prumysloveho vlastnictvi?	13
77	kde jsou zakony tykajici se ochrany prumysloveho vlastnictvi?	13
78	na jake strance jsou uvedeny pravni predpisy o prumyslovem vlastnictvi ?	14
79	na jake strance jsou uvedeny zakony o prumyslovem vlastnictvi ?	14
80	na jake strance jsou uvedeny pravni predpisy o prumyslovych pravech?	14
81	na jake strance jsou uvedeny zakony o prumyslovych pravech?	14
82	kde jsou pravni predpisy o patentech ?	14
83	kde jsou zakony o patentech ?	14
84	kde jsou pravni predpisy o prumyslovych vzorech ?	14
85	kde jsou zakony o prumyslovych vzorech ?	14
86	kde jsou pravni predpisy o uzitnych vzorech ?	14
87	kde jsou zakony o uzitnych vzorech ?	14
88	kde jsou pravni predpisy o ochrannych znamkach?	14
89	kde jsou zakony o ochrannych znamkach?	14
90	mezinarodni pravni predpisy .	14
91	mezinarodni zakony.	14
92	kde najdu mezinarodni pravni predpisy ?	14
93	kde mohu najit mezinarodni pravni predpisy ?	14
94	kde muzu najit mezinarodni pravni predpisy ?	14
95	kde najdu  zakony?	14
96	kde mohu najit  zakony?	14
97	kde muzu najit zakony?	14
98	pravni predpisy eu .	14
99	zakony eu .	14
100	pravni predpisy  evropske unie.	14
101	zakony evropske unie.	14
102	kde najdu evropske pravni predpisy ?	14
103	kde najdu evropske zakony?	14
104	jake jsou predpisy eu ?	14
105	jake jsou zakony eu ?	14
106	jake jsou predpisy  evropske unie?	14
107	jake jsou zakony evropske unie?	14
108	kde najdu pravni predpisy ?	14
109	kde jsou dostupne pravni predpisy ?	14
110	kde najdu  zakony?	14
111	kde jsou dostupne zakony?	14
112	pravni predpisy	14
113	zakony	14
114	prehled pravnich predpisu	14
115	prehled zakonu	14
116	kde mohu najit kontakty na urad?	15
117	kde najdu kontakty?	15
118	zakladni kontakty na urad	15
119	ma urad infocentrum?	15
120	jak kontaktovat urad prumysloveho vlastnictvi ?	15
121	jak kontaktovat upv?	15
122	kde najdu informace o provozu podatelny uradu?	15
123	kde jsou informace o provozu podatelny uradu?	15
124	kde najdu podatelnu uradu?	15
125	kde je podatelna uradu?	15
126	kde se mohu obratit s dotazy tykajicimi se prumysloveho prava?	15
127	kam se mohu obratit s dotazy tykajicimi se prumysloveho prava?	15
128	kdo mi muze poskytnout vseobecne informace ?	15
129	kdo mi muze poskytnout obecne informace ?	15
130	kde najdu infocentrum?	15
131	kde je infocentrum?	15
132	kde najdu pomoc s prihlaskou?	16
133	kde mohu najit pomoc s prihlaskou?	16
134	kdo mi poskytne odborne zastoupeni?	16
135	kdo mi muze poskytnout odborne zastoupeni?	16
136	je nejake odborne zastoupeni?	16
137	kde najdu odborne zastoupeni?	16
138	muze mi nekdo pomoci s prihlaskou ?	16
139	muze mi nekdo pomoci s prihlasovanim?	16
140	patentovi zastupci	16
141	kdo mi pomuze s prihlaskou?	16
142	kdo muze pomoci s prihlaskou?	16
143	pomoc s prihlaskou	16
144	pomoc s podanim	16
145	muze urad pomoci s prihlaskou?	16
146	muze urad pomoct s prihlaskou?	16
147	jak postupovat pri prodlouzeni platnosti patentu?	17
