	question	class
0	kde najdu informace o prihlasovani prumyslovych prav do zahranici?	0
1	kde najit informace o prihlasovani prumyslovych prav do zahranici?	0
2	kde jsou informace o prihlasovani prumyslovych prav do zahranici?	0
3	jak postupovat pri prihlasovani do zahranici?	0
4	jak podat prihlasku do zahranici?	0
5	jak prihlasit do zahranici?	0
6	prihlasovani do zahranici	0
7	prihlaska do zahranici	0
8	zadost o mezinarodni zapis ochranne znamky.	0
9	formular zadosti o mezinarodni zapis ochranne znamky.	0
10	jak zaregistrovat ochrannou znamku do zahranici?	0
11	kde zaregistrovat ochrannou znamku do zahranici?	0
12	chci zaregistrovat ochrannou znamku do zahranici.	0
13	mezinarodni ochranne znamky.	0
14	kde najdu zadost k prihlaseni do zahranici?	0
15	jak najdu zadost k prihlaseni do zahranici?	0
16	zadost o mezinarodni zapis	0
17	prihlasku patentu.	0
18	formular zadosti o mezinarodni zapis	0
19	prihlasku patentu.	0
20	jak prihlasit patent do zahranici?	0
21	jak zaregistrovat patent do zahranici?	0
22	jak prihlasit vynalez do zahranici?	0
23	jak zaregistrovat vynalez do zahranici?	0
24	chci prihlasit patent do zahranici.	0
25	chci zaregistrovat patent do zahranici.	0
26	chci prihlasit vynalez do zahranici.	0
27	chci zaregistrovat vynalez do zahranici.	0
28	mezinarodni patenty.	0
29	zadost o mezinarodni zapis	0
30	prihlasku uzitneho vzoru.	0
31	formular zadosti o mezinarodni zapis	0
32	prihlasku uzitneho vzoru.	0
33	jak prihlasit uzitny vzor do zahranici?	0
34	jak zaregistrovat uzitny vzor do zahranici?	0
35	jak prihlasit uzitny vzor do zahranici?	0
36	jak zaregistrovat uzitny vzor do zahranici?	0
37	chci prihlasit uzitny vzor do zahranici.	0
38	chci zaregistrovat uzitny vzor do zahranici.	0
39	mezinarodni uzitny vzor .	0
40	mezinarodni uzitne vzory.	0
41	zadost o mezinarodni zapis prumysloveho vzoru.	0
42	zadost o mezinarodni prihlasku prumysloveho vzoru.	0
43	formular zadosti o mezinarodni zapis prumysloveho vzoru.	0
44	formular zadosti o mezinarodni prihlasku prumysloveho vzoru.	0
45	jak prihlasit prumyslovy vzor do zahranici?	0
46	jak zaregistrovat prumyslovy vzor do zahranici?	0
47	jak zapsat prumyslovy vzor do zahranici?	0
48	jak prihlasit prumyslovy vzor do zahranici?	0
49	jak zaregistrovat prumyslovy vzor do zahranici?	0
50	jak zapsat prumyslovy vzor do zahranici?	0
51	chci prihlasit prumyslovy vzor do zahranici.	0
52	chci zaregistrovat prumyslovy vzor do zahranici.	0
53	chci zapsat prumyslovy vzor do zahranici.	0
54	mezinarodni prumyslovy vzor .	0
55	mezinarodni prumyslove vzory.	0
56	co chrani autorske pravo?	1
57	na koho se vztahuji prava souvisejici s autorskym pravem?	1
58	jak dlouho plati autorske pravo?	1
59	je nutne autorske pravo nekde registrovat ?	1
60	je nutne autorske pravo nekde zapsat?	1
61	co je mozne delat s dilem bez autorova souhlasu?	1
62	co je povazovano za legalni uziti autorskeho dila?	1
63	kdo ma na starosti autorske pravo v ceske republice?	1
64	uziti autorskeho dila	1
65	jaka jsou omezeni autorskeho prava?	1
66	co se stane, pokud nekdo porusi autorske pravo?	1
67	co se stane, kdyz nekdo porusi autorske pravo?	1
68	kam se obratit s dotazy k autorskemu pravu ?	1
69	kam se obratit s dotazy k autorskym pravum?	1
70	co je mozne bez souhlasu autora?	1
71	co muzu bez souhlasu autora?	1
72	co lze bez souhlasu autora?	1
73	mam autorske dilo registrovat?	1
74	musim autorske dilo registrovat?	1
75	musi se autorske dilo registrovat?	1
76	kde autorske dilo registrovat?	1
77	kdy vznika autorske pravo?	1
78	co je to stiznost?	2
79	kde mohu najit informace o stiznostech?	2
80	kde muzu najit informace o stiznostech?	2
81	kde lze najit informace o stiznostech?	2
82	kam ma byt stiznost podana?	2
83	kam musi byt stiznost podana?	2
84	co muze byt predmetem stiznosti?	2
85	jaky je ucel podani stiznosti?	2
86	kdo muze podat stiznost?	2
87	kdo je opravnen podat stiznost?	2
88	co se stane po podani stiznosti?	2
89	jak muze byt stiznost vyresena?	2
90	jake jsou mozne reakce uradu na stiznost?	2
91	pravni predpisy tykajici se stiznosti	2
92	kam podat stiznost?	2
93	jak podat stiznost?	2
94	jak muze vypadat rozhodnuti o stiznosti?	2
95	jak vypada rozhodnuti o stiznosti?	2
96	kdo vydava vestnik?	3
97	jak casto je vydavan vestnik?	3
98	jake informace najdu ve vestniku?	3
99	jake informace jsou zverejnovany ve vestniku?	3
100	jsou v vestniku informace o patentech ?	3
101	jsou v vestniku informace o vynalezech?	3
102	zverejnuje vestnik informace o ochrannych znamkach?	3
103	jsou ve vestniku informace o zapsanych prumyslovych vzorech?	3
104	jsou v vestniku udaje o uzitnych vzorech?	3
105	jsou v vestniku informace o uzitnych vzorech?	3
106	kde mohu najit vestnik?	3
107	kde najdu vestnik?	3
108	kde najdu pravni predpisy tykajici se ochrany prumysloveho vlastnictvi?	4
109	kde jsou pravni predpisy tykajici se ochrany prumysloveho vlastnictvi?	4
110	na jake strance jsou uvedeny pravni predpisy o prumyslovem vlastnictvi	4
111	prumyslovych pravech?	4
112	kde jsou pravni predpisy o patentech ?	4
113	kde jsou pravni predpisy o prumyslovych vzorech ?	4
114	kde jsou pravni predpisy o uzitnych vzorech ?	4
115	kde jsou pravni predpisy o ocharnnych znamkach?	4
116	mezinarodni pravni predpisy.	4
117	kde najdu mezinarodni pravni predpisy?	4
118	kde mohu najit mezinarodni pravni predpisy?	4
119	kde muzu najit mezinarodni pravni predpisy?	4
120	pravni predpisy eu .	4
121	pravni predpisy evropske unie.	4
122	kde najdu evropske pravni predpisy?	4
123	jake jsou predpisy eu ?	4
124	jake jsou predpisy evropske unie?	4
125	kde najdu pravni predpisy?	4
126	kde jsou dostupne pravni predpisy?	4
127	pravni predpisy	4
128	prehled pravnich predpisu	4
129	kde mohu najit kontakty na urad?	5
130	kde najdu kontakty?	5
131	zakladni kontakty na urad	5
132	ma urad infocentrum?	5
133	jak kontaktovat urad prumysloveho vlastnictvi	5
134	upv?	5
135	kde najdu informace o provozu podatelny uradu?	5
136	kde jsou informace o provozu podatelny uradu?	5
137	kde najdu podatelnu uradu?	5
138	kde je podatelna uradu?	5
139	kde se mohu obratit s dotazy tykajicimi se prumysloveho prava?	5
140	kam se mohu obratit s dotazy tykajicimi se prumysloveho prava?	5
141	kdo mi muze poskytnout vseobecne informace ?	5
142	kdo mi muze poskytnout obecne informace ?	5
143	kde najdu infocentrum?	5
144	kde je infocentrum?	5
145	kde najdu pomoc s prihlaskou?	6
146	kde mohu najit pomoc s prihlaskou?	6
147	kdo mi poskytne odborne zastoupeni?	6
148	kdo mi muze poskytnout odborne zastoupeni?	6
149	je nejake odborne zastoupeni?	6
150	kde najdu odborne zastoupeni?	6
151	muze mi nekdo pomoci s prihlaskou ?	6
152	muze mi nekdo pomoci s prihlasovanim?	6
153	patentovi zastupci	6
154	kdo mi pomuze s prihlaskou?	6
155	kdo muze pomoci s prihlaskou?	6
156	pomoc s prihlaskou	6
