	question	class
0	Co je duševní vlastnictví	0
1	Co známená duševní vlastnictví	0
2	Duševní vlastnictví je	0
3	Definice duševního vlastnictví	0
4	Jak definovat duševní vlastnictví	0
5	Co představuje duševní vlastnictví	0
6	Ochrana předmětů technického charakteru	1
7	Ochrana předmětů technického typu	1
8	Ochrana technických řešení	1
9	Jak chránit technické řešení	1
10	Způsob ochrany předmětů technického charakteru	1
11	Způsob ochrany předmětů technického typu	1
12	Způsob ochrany technických řešení	1
13	Způsob ochrany technického řešení	1
14	Jak zajistit technické řešení	1
15	Jak zajistit technická řešení	1
16	Možnosti ochrany předmětů technického charakteru	1
17	Možnosti ochrany předmětů technického typu	1
18	Možnosti ochrany technického řešení	1
19	Možnosti ochrany technických řešení	1
20	Pomoc s registrací vynálezu	2
21	Pomoc s přihláškou vynálezu	2
22	Pomoc s registrací  patentu	2
23	Pomoc s přihláškou patentu	2
24	Pomoc s registrací  užitného vzoru	2
25	Pomoc s přihláškou užitného vzoru	2
26	Pomoc s registrací  průmyslového vzoru	2
27	Pomoc s přihláškou průmyslového vzoru	2
28	Pomoc s registrací  ochranné známky	2
29	Pomoc s přihláškou ochranné známky	2
30	Pomoc s registrací  průmyslového designu	2
31	Pomoc s přihláškou průmyslového designu	2
32	Pomoc s registrací  ochranného označení	2
33	Pomoc s přihláškou ochranného označení	2
34	Kdo pomůže s přihláškou vynálezu	2
35	Kdo pomůže s přihlašováním vynálezu	2
36	Kdo pomůže s přihláškou  patentu	2
37	Kdo pomůže s přihlašováním patentu	2
38	Kdo pomůže s přihláškou  užitného vzoru	2
39	Kdo pomůže s přihlašováním užitného vzoru	2
40	Kdo pomůže s přihláškou  průmyslového vzoru	2
41	Kdo pomůže s přihlašováním průmyslového vzoru	2
42	Kdo pomůže s přihláškou  ochranné známky	2
43	Kdo pomůže s přihlašováním ochranné známky	2
44	Kdo pomůže s přihláškou  průmyslového designu	2
45	Kdo pomůže s přihlašováním průmyslového designu	2
46	Kdo pomůže s přihláškou  ochranného označení	2
47	Kdo pomůže s přihlašováním ochranného označení	2
48	Kdo poskytne pomoc s registrací vynálezu	2
49	Kdo poskytne pomoc s přihláškou vynálezu	2
