	group	unnamed: 1	questions	answer
0	q1	slovem	co je dusevni vlastnictvi?; co znamena dusevni vlastnictvi? dusevni vlastnictvi je?; definice dusevniho vlastnictvi; jak definovat dusevni vlastnictvi; co predstavuje dusevni vlastnictvi?	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
1		hlasem	co je dusevni vlastnictvi?; co znamena dusevni vlastnictvi? dusevni vlastnictvi je?; definice dusevniho vlastnictvi?; jak definovat dusevni vlastnictvi?; co predstavuje dusevni vlastnictvi? rekni mi, co je dusevni vlastnictvi.	
2	q2	slovem	ochrana predmetu technickeho (charakteru | typu); ochrana technickych reseni; jak chranit technicke reseni?; zpusob ochrany predmetu technickeho (charakteru | typu); zpusob ochrany (technickych reseni | technickeho reseni); jak zajistit (technicke reseni | technicka reseni)?; moznosti ochrany predmetu technickeho (charakteru | typu); moznosti ochrany (technickeho reseni | technickych reseni);	"technicke reseni lze chranit formou patentu na vynalez, pripadne zapsaneho uzitneho vzoru, podanim prihlasky vynalezu nebo uzitneho vzoru, u uradu prumysloveho vlastnictvi, a zaplaceni spravniho poplatku. princip teto ochrany spociva v tom, ze stat prostrednictvim uradu prumysloveho vlastnictvi poskytne prihlasovateli vylucne pravo k predmetu ochrany s tim, ze chranene reseni bude zverejneno.

pokud vlastnik reseni nechce, aby pro neho vyznamne reseni nebo poznatky byly zverejneny, musi je utajit. k utajeni poznatku a znalosti je dulezite zvolit vhodna opatreni: omezit pristup k reseni jen duveryhodnym osobam, ktere podepsaly dohodu o utajovani. pri teto forme ochrany existuje vzdy urcite riziko vyzrazeni. v takovem pripade utajene poznatky prestavaji byt obchodnim tajemstvim a stavaji se obecne znamymi a v zasade tak volnymi k vyuziti.

pokud vlastnik reseni nema zajem na zajisteni vlastni prumyslove-pravni ochrany a nechce, aby ochrana shodneho reseni a vylucne pravo k nemu nebyly poskytnuty treti osobe nebo konkurenci, musi reseni kvalifikovane zverejnit, napriklad v casopise nebo verejne prednasce. vzhledem k tomuto zverejneni se reseni stane stavem techniky a nebude tedy splnovat podminky pro poskytnuti prumyslove-pravni ochrany.

pokud si vlastnik nezajisti nekterou z uvedenych forem ochrany, musi pocitat s tim, ze shodne reseni muze vyuzivat kdokoliv, aniz je mozne mu v tom ucinne branit.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
3		hlasem	rekni mi, jak chranit predmety technickeho (charakteru | typu); jake jsou moznosti ochrany (technickych reseni | technickeho reseni); jak chranit technicke reseni?; jake jsou zpusoby ochrany predmetu technickeho (charakteru | typu); zpusob ochrany (technickych reseni | technickeho reseni); jak zajistit technicke reseni?; jake jsou moznosti ochrany predmetu technickeho (charakteru | typu); jake jsou moznosti ochrany (technickeho reseni | technickych reseni); rekni mi jak chranit predmety technickeho (charakteru | typu).	
4	q3	slovem	pomoc s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni); kdo pomuze s (prihlaskou | prihlasovanim) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?; kdo poskytne pomoc s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?; pomuzete mi s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se muzu obratit s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se obratit s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?	"priprava a zpracovani prihlasek k predmetum prumyslove ochrany predpoklada specificke znalosti a zkusenosti. predevsim v pripade prihlasek vynalezu se doporucuje, aby byly zpracovany odbornikem, jelikoz nespravne zpracovane prihlasky vynalezu a zejmena jejich patentove naroky mohou mit pro prihlasovatele negativni nasledky, zejmena pokud jde o ziskany rozsah ochrany.

pomoc, pripadne odborne zastoupeni, mohou nalezt prihlasovatele u patentovych zastupcu a u advokatnich kancelari. vice informaci o zastupovani je mozne nalezt na webovych strankach komory patentovych zastupcu a ceske advokatni komory.

zakladni informace spojene s problematikou ochrany technickych reseni ci s rizenim o prihlaskach vynalezu a uzitnych vzoru, stejne jako informace spojene se znamkopravni problematikou, s rizenim o prihlaskach ochrannych znamek ci zatridovanim vyrobku a sluzeb pro ucely znamkopravniho rizeni vam mohou poskytnout pracovnici informacniho strediska uradu prumysloveho vlastnictvi.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-. komora patentovych zastupcu zde: https://www.patzastupci.cz/. ceska advokatni komora zde: https://www.cak.cz/. helpdesk upv zde: https://upv.gov.cz/sluzby/informacni-sluzby/informacni-stredisko.  "
5		hlasem	pomuzes mi (zaregistrovat | podat prihlasku) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?; kdo mi pomuze s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni?); pomuzete mi s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se muzu obratit s (registraci | prihlaskou) (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se obratit s (registraci | prihlaskou) (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?	
6	q4	slovem	"vymahani prav z prumysloveho vlastnictvi; vymahani prav; jak vymahat (prava | pravo); co je to vymahani prava z prumysloveho vlastnictvi?; co znamena vymahani prava z prumysloveho vlastnictvi?; jak vymahat prava z prumysloveho vlastnictvi?; co delat v pripade poruseni prav prumysloveho vlastnictvi? co delat v pripade poruseni prav?
"	"v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu.

vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona o vymahani prav z prumysloveho vlastnictvi.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
7		hlasem	"co mam delat v pripade poruseni (prava | prav)? co mam delat v pripade poruseni prava prumysloveho vlastnictvi? rekni mi jak vymahat prava z prumysloveho vlastnictvi; jak vymahat prava; co je to vymahani prava? co je to vymahani prava z prumysloveho vlastnictvi?; co znamena vymahani (prav | prava) z prumysloveho vlastnictvi?; jak vymahat prava z prumysloveho vlastnictvi?; jak postupovat kdyz bylo poruseno pravo prumysloveho vlastnictvi?
"	
8	q5	slovem	spory; spor; prosazovani prav; prosazovani prav z prumysloveho vlastnictvi; pomoc ve (sporu | sporech); co delat ve sporu?; (pomuzes | pomuzete) mi s prosazovanim prav?; jak postupovat pri (sporu | sporech)?; poskytujete pomoc pri (prosazovani prav | prosazovani prav z prumysloveho vlastnictvi | ve sporech | ve sporu)?; jak probiha prosazovani prav z prumysloveho vlastnictvi?; jak probiha prosazovani prav? pomahate se (zajistenim | prosazovanim) prav?; pomahate se (zajistenim | prosazovanim) prav z prumysloveho vlastnictvi? muze (urad | upv) pomoci (s prosazovanim prav | ve sporech | ve sporu)? pomuze (urad | upv | vy) ve sporech? muzu se na vas obratit v prosazovani svych prav? jak mi pomuzete s prosazovanim prav? pomuzete mi ve sporu? chci vedet jeslti mi pomuzete pri (prosazovani prav | ve sporu); jak se muzu branit (ve sporu | v prosazovani prav)?	"pokud se jedna o spor nebo nejasnosti o vyuzivani patentu ci zapsaneho uzitneho vzoru, opravnuji pravni predpisy urad prumysloveho vlastnictvi k tomu, aby rozhodl, zda urcite technicke reseni, napriklad konkurencni vyrobek, spada do rozsahu patentu nebo zapsaneho uzitneho vzoru. rozhodnuti urad vyda na zaklade zadosti o urceni, podane bud majitelem patentu ci uzitneho vzoru, nebo osoby, ktera osvedci pravni zajem. rozhodnuti o urceni je mozne v pripade sporu predlozit soudu jako dukaz, soud vsak timto rozhodnutim neni vazan.

urcitou moznost v ramci prosazovani prav pro treti osoby predstavuje navrh na zruseni patentu v pripade, ze se dodatecne zjisti, ze chraneny vynalez nesplnuje podminky patentovatelnosti. castecne nebo uplne zruseni patentu lze dosahnout na zaklade zadosti, kterou muze u uradu prumysloveho vlastnictvi podat kdokoliv. podobne je takto mozne postupovat i u vymazu uzitneho a prumysloveho vzoru.

v pripade ochrannych znamek je mozne ve lhute tri mesicu od zverejneni prihlasovaneho oznaceni v zakonem uvedenych pripadech podat namitky proti zapisu oznaceni do rejstriku ochrannych znamek. po zapisu ochranne znamky do rejstriku je mozne u uradu podat navrh na zruseni ochranne znamky ci navrh na prohlaseni ochranne znamky za neplatnou.

k zajisteni ochrany vasich prav z prumysloveho vlastnictvi se doporucuje sledovat pravidelne vestnik uradu, kde jsou pravidelne zverejnovany informace o prihlaskach i poskytnutych pravech - tj. o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-. vestnik zde: https://isdv.upv.cz/webapp/resdb.vestnik.seznam"
9		hlasem	spory; spor; prosazovani prav; prosazovani prav z prumysloveho vlastnictvi; pomoc ve (sporu | sporech); co delat ve sporu?; rekni mi co delat ve sporu; rekni mi jeslti poskytujete pomoc pri sporech; (pomuzes | pomuzete) mi s prosazovanim prav? jak postupovat pri (sporu | sporech)? poskytujete pomoc pri (prosazovani prav  | prosazovani prav z prumysloveho vlastnictvi | ve sporech | ve sporu)? jak probiha prosazovani prav z prumysloveho vlastnictvi?; jak probiha prosazovani prav? pomahate se (zajistenim | prosazovanim) prav?; pomahate se (zajistenim | prosazovanim) prav z prumysloveho vlastnictvi? muze (urad | urad | upv) pomoci (s prosazovanim prav | ve sporech | ve sporu)? pomuze (urad | urad | upv | vy) ve sporech? muzu se na vas obratit v prosazovani svych prav? jak mi pomuzete s prosazovanim prav? pomuzete mi ve sporu? chci vedet jeslti mi pomuzete pri (prosazovani prav | ve sporu); jak se muzu branit (ve sporu | v prosazovani prav)?	
